PING ycombinator.com (52.84.169.3) 56(84) bytes of data.
64 bytes from 52.84.169.3: icmp_seq=196 ttl=243 time=28.3 ms
64 bytes from 52.84.169.3: icmp_seq=197 ttl=243 time=29.0 ms
64 bytes from 52.84.169.3: icmp_seq=198 ttl=243 time=28.1 ms
64 bytes from 52.84.169.3: icmp_seq=199 ttl=243 time=27.6 ms
64 bytes from 52.84.169.3: icmp_seq=200 ttl=243 time=29.1 ms
64 bytes from 52.84.169.3: icmp_seq=201 ttl=243 time=27.7 ms
64 bytes from 52.84.169.3: icmp_seq=202 ttl=243 time=29.9 ms
64 bytes from 52.84.169.3: icmp_seq=203 ttl=243 time=27.5 ms
64 bytes from 52.84.169.3: icmp_seq=204 ttl=243 time=28.2 ms
64 bytes from 52.84.169.3: icmp_seq=205 ttl=243 time=27.9 ms
64 bytes from 52.84.169.3: icmp_seq=206 ttl=243 time=27.7 ms
64 bytes from 52.84.169.3: icmp_seq=207 ttl=243 time=28.6 ms
64 bytes from 52.84.169.3: icmp_seq=208 ttl=243 time=33.5 ms
64 bytes from 52.84.169.3: icmp_seq=209 ttl=243 time=27.6 ms
64 bytes from 52.84.169.3: icmp_seq=210 ttl=243 time=27.1 ms
64 bytes from 52.84.169.3: icmp_seq=211 ttl=243 time=28.5 ms
64 bytes from 52.84.169.3: icmp_seq=212 ttl=243 time=28.3 ms
64 bytes from 52.84.169.3: icmp_seq=213 ttl=243 time=28.2 ms

--- ycombinator.com ping statistics ---
213 packets transmitted, 212 received, 0.469484% packet loss, time 42562ms
rtt min/avg/max/mdev = 27.056/29.682/149.126/8.491 ms
